study_ID,Study.x,number_of_islands,Taxa,island_type2,fixed_proportional,dataset_coord_lat,dataset_coord_long,sampling_effort,sampling_effort_unit,sampling_method,sampling_method_dimensions,sampling_notes,sampling_time_frame,no_hours_sampled
Borges_2016,Borges_2016_data,7,Invertebrates,volcanic,not_standardized,38.38388543,-27.82974724,63,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Choi_2011,Choi_2011_data,17,Invertebrates,volcanic,fixed,34.37856435,126.1664129,3,trap,light trap,NA,NA,May to July 2009,NA
Dasilva_2019,Dasilva_2019_data,14,Invertebrates,forest island,fixed,-19.23569643,-43.53095833,4,trap,pitfall trap,Pitfall traps of 9cm deep and 15cm in diameter,Pitfall traps were placed at each corner of a 20 x 50 m plot,NA,NA
Davidar_2001,Davidar_2001_data,38,Birds,volcanic,not_standardized,12.43960526,92.84847368,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",transect,transect,1km transect,"Bird lists for each island were compiled on 1 km long transects laid through each forest type on a larger island or across all forest types on a smaller island. These transects were walked in the mornings starting at dawn. The number of transects was related to the size of the habitat. Each transect was walked several times until the
species accumulation curve reached an asymptote.","February to May 1992, 1993 and February of 1994",NA
Devy_1998,Devy_1998_data,11,Invertebrates,volcanic,not_standardized,11.54490909,92.62627273,one to several transects,transect,transect,transects of variable lengths,"Transects of variable lengths were walked in different habitats of the large and medium sized islands, while the small islands were completely surveyed. Transects were walked between S:OO-12:00 h. A minimum of 2 d were spent on each island and whenever more species were encountered, the survey was extended to several days. Butterflies seen within 5 m on either side of the transect were recorded [ 191 together with details on the habitat in which they occurred. T",1992,NA
Devy_1998,Devy_1998_data,11,Invertebrates,volcanic,not_standardized,11.54490909,92.62627273,one to several transects,transect,transect,transects of variable lengths,"Transects of variable lengths were walked in different habitats of the large and medium sized islands, while the small islands were completely surveyed. Transects were walked between S:OO-12:00 h. A minimum of 2 d were spent on each island and whenever more species were encountered, the survey was extended to several days. Butterflies seen within 5 m on either side of the transect were recorded [ 191 together with details on the habitat in which they occurred. T",1992 and 1994,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,40,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",NA,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,170,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",NA,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,290,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",NA,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,330,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",NA,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,385,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",NA,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,397,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",NA,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,495,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",NA,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,652,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",NA,NA
Dueser_1979,Dueser_1979_data,10,Mammals,continental,not_standardized,37.28506901,-75.791806,2115,trap nights,live trap and wire trap,Sherman live trap (7 x 9 x 23 cm) and double-door Tomahawk wire live trap (15 x 15 x 61 cm),"The transect on Parramore Island included 200 stations at 15 m intervals along one straight line. The other transects included two parallel lines of traps approximately 60 m apart, each with varying numbers of stations at 15 m intervals. One Sherman live trap (7 by 9 by 23 cm) was placed at each station; one double-door Tomahawk wire live trap (15 by 15 by 61 cm) was placed about every fifth station. All traps were baited with rolled oats and cracked corn, and were checked morning and evening.",26-June-1975 to 29-August-1975,30 days
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,2,insufficient details on sampling,transect,2,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",25-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,6,insufficient details on sampling,transect,6,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",29-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,9,insufficient details on sampling,transect,9,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",28-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,9,insufficient details on sampling,transect,9,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",26-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,9,insufficient details on sampling,transect,9,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",27-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,11,insufficient details on sampling,transect,11,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",28-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,27-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,25-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,27-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,26-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,30-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,25-Oct-10,NA
Evans_2016,Evans_2016_data,30,Birds,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,29-Oct-10,NA
Hatteland_2008_data,Hatteland_2008_data,14,Beetles,continental,not_standardized,60.5729857,4.79309626,3,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,14,Beetles,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,14,Beetles,continental,not_standardized,60.5729857,4.79309626,10,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.02,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.03,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.05,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.08,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.09,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.1,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.13,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.15,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.25,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.3,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.4,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.5,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.6,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,0.9,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,1,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,1.5,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,2,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,3,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,8,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,12,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,30,Birds,lake island,not_standardized,60.64399949,4.738874015,15,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Karger_2014,Karger_2014_data,12,Plants,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Kotze_2000,Kotze_2000_data,24,Beetles,volcanic,not_standardized,59.98331702,21.61030416,6,trap,pitfall trap,"diameter of 65 mm, volume 170 mL",Six traps were placed in a row 5 m apart per habitat type. Number of habitat types varied with island size.,22-May-1993 to 20-September-1993,Twice a month
Kotze_2000,Kotze_2000_data,24,Beetles,volcanic,not_standardized,59.98331702,21.61030416,12,trap,pitfall trap,"diameter of 65 mm, volume 170 mL",Six traps were placed in a row 5 m apart per habitat type. Number of habitat types varied with island size.,22-May-1993 to 20-September-1993,Twice a month
Kotze_2000,Kotze_2000_data,24,Beetles,volcanic,not_standardized,59.98331702,21.61030416,18,trap,pitfall trap,"diameter of 65 mm, volume 170 mL",Six traps were placed in a row 5 m apart per habitat type. Number of habitat types varied with island size.,22-May-1993 to 20-September-1993,Twice a month
Kotze_2000,Kotze_2000_data,24,Beetles,volcanic,not_standardized,59.98331702,21.61030416,24,trap,pitfall trap,"diameter of 65 mm, volume 170 mL",Six traps were placed in a row 5 m apart per habitat type. Number of habitat types varied with island size.,22-May-1993 to 20-September-1993,Twice a month
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.0851,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.0906,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.0934,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.0972,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.0984,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.0989,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.1051,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.107,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.1932,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.1962,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.2037,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.2132,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.3955,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
Macdonald_2018,Macdonald_2018_data,30,Invertebrates,lake island,not_standardized,59.97312669,21.49191595,0.4074,area sampled,survey,4 surveys per island,standardized survey time of 40 min per hectare,01-June-2015 to 20-Aug-2015,NA
