refshort,reference,country,climate,continent,sphere_fragment,sphere_matrix,biome,taxa,time_since_fragmentation,matrix_category,latitudeN,longitudeE,sampling_design,sampling_method,method_category,sampling_device_size,device_size_unit,intensity,intensity_unit,block_type,number_of_blocks_per_site,sampling_density,density_unit,sampling_duration,duration_unit,sampling_effort,sampling_effort_unit,sampling_note
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,30,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,42,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,39,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,91,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,150,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,50,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,130,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,100,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,145,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,40,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,75,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,60,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,35,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,110,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baz_1995,"Baz, A. & Garcia-Boyero, A., 1996. The SLOSS dilemma: a butterfly case study. Biodiversity and Conservation, 5(4), pp.493-502.",Spain,Temperate,Europe,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,40.627657,-3.084097,standardized_fragment,net,entomological net,NA,NA,40,minutes walking transect per fragment per survey,NA,NA,NA,NA,10,surveys per fragment,1,balanced,"9 sampling dates for each site, 40 minutes of catching at each site.date."
Bell_2006_a,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,quadrat,NA,NA,25,m2 quadrat,grid,1,4 or 6 or 15,quadrats per fragment per month,10,consecutive months,43,total number of transects at each site,"5 * 5 m leaf liter quadrats searched.  Sampled monthly between 2003 and 2004.  Number of quadrats per fragment changes with fragment size.  4 and 6 quadrats sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_a,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,quadrat,NA,NA,25,m2 quadrat,grid,1,4 or 6 or 15,quadrats per fragment per month,10,consecutive months,28,total number of transects at each site,"5 * 5 m leaf liter quadrats searched.  Sampled monthly between 2003 and 2004.  Number of quadrats per fragment changes with fragment size.  4 and 6 quadrats sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_a,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,quadrat,NA,NA,25,m2 quadrat,grid,1,4 or 6 or 15,quadrats per fragment per month,10,consecutive months,41,total number of transects at each site,"5 * 5 m leaf liter quadrats searched.  Sampled monthly between 2003 and 2004.  Number of quadrats per fragment changes with fragment size.  4 and 6 quadrats sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_a,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,quadrat,NA,NA,25,m2 quadrat,grid,1,4 or 6 or 15,quadrats per fragment per month,10,consecutive months,29,total number of transects at each site,"5 * 5 m leaf liter quadrats searched.  Sampled monthly between 2003 and 2004.  Number of quadrats per fragment changes with fragment size.  4 and 6 quadrats sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_a,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,quadrat,NA,NA,25,m2 quadrat,grid,1,4 or 6 or 15,quadrats per fragment per month,10,consecutive months,39,total number of transects at each site,"5 * 5 m leaf liter quadrats searched.  Sampled monthly between 2003 and 2004.  Number of quadrats per fragment changes with fragment size.  4 and 6 quadrats sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_a,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,quadrat,NA,NA,25,m2 quadrat,grid,1,4 or 6 or 15,quadrats per fragment per month,10,consecutive months,40,total number of transects at each site,"5 * 5 m leaf liter quadrats searched.  Sampled monthly between 2003 and 2004.  Number of quadrats per fragment changes with fragment size.  4 and 6 quadrats sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_a,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,quadrat,NA,NA,25,m2 quadrat,grid,1,4 or 6 or 15,quadrats per fragment per month,10,consecutive months,98,total number of transects at each site,"5 * 5 m leaf liter quadrats searched.  Sampled monthly between 2003 and 2004.  Number of quadrats per fragment changes with fragment size.  4 and 6 quadrats sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_b,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,transect,NA,NA,50,m long,grid,1,3 or 6 or 15,transects per fragment per month,10,consecutive months,57,total number of transects at each site,"50 * 4 m transects at night.  Sampled monthly between 2003 and 2004.  Number of transects per fragment changes with fragment size.  3 and 6 fragments sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_b,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,transect,NA,NA,50,m long,grid,1,3 or 6 or 15,transects per fragment per month,10,consecutive months,56,total number of transects at each site,"50 * 4 m transects at night.  Sampled monthly between 2003 and 2004.  Number of transects per fragment changes with fragment size.  3 and 6 fragments sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_b,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,transect,NA,NA,50,m long,grid,1,3 or 6 or 15,transects per fragment per month,10,consecutive months,54,total number of transects at each site,"50 * 4 m transects at night.  Sampled monthly between 2003 and 2004.  Number of transects per fragment changes with fragment size.  3 and 6 fragments sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_b,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,transect,NA,NA,50,m long,grid,1,3 or 6 or 15,transects per fragment per month,10,consecutive months,26,total number of transects at each site,"50 * 4 m transects at night.  Sampled monthly between 2003 and 2004.  Number of transects per fragment changes with fragment size.  3 and 6 fragments sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_b,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,transect,NA,NA,50,m long,grid,1,3 or 6 or 15,transects per fragment per month,10,consecutive months,51,total number of transects at each site,"50 * 4 m transects at night.  Sampled monthly between 2003 and 2004.  Number of transects per fragment changes with fragment size.  3 and 6 fragments sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_b,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,transect,NA,NA,50,m long,grid,1,3 or 6 or 15,transects per fragment per month,10,consecutive months,131,total number of transects at each site,"50 * 4 m transects at night.  Sampled monthly between 2003 and 2004.  Number of transects per fragment changes with fragment size.  3 and 6 fragments sampled each month in small and medium fragments, and 15 in La Selva."
Bell_2006_b,"Bell, K.E. and Donnelly M.A., 2006. Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conservation Biology, 20(6), pp.1750-1760.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,10.433333,-83.983333,pooled,visual search,transect,NA,NA,50,m long,grid,1,3 or 6 or 15,transects per fragment per month,10,consecutive months,27,total number of transects at each site,"50 * 4 m transects at night.  Sampled monthly between 2003 and 2004.  Number of transects per fragment changes with fragment size.  3 and 6 fragments sampled each month in small and medium fragments, and 15 in La Selva."
Benedick_2006,"Benedick, S. et al., 2006. Impacts of rain forest fragmentation on butterflies in northern Borneo: Species richness, turnover and the value of small fragments. Journal of Applied Ecology, 43(5), pp.967-977.",Indonesia,Tropical,Asia,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),harsh filter,5.021743,117.13152,standardized_subsamples,trap,fruit-baited traps,NA,NA,2,km long transect,transect,1,20,traps per transect per season,2,surveys of 12 days each,1,balanced,"20 fruit-baited traps along 2km transect at each site, butterflies sampled for 12 consecutive days on 2 occassions."
Benitez-Malvido_2016,"Benítez-Malvido J. et al., 2016. The multiple impacts of tropical forest fragmentation on arthropod biodiversity and on their patterns of interactions with host plants. PLoS ONE, 11(1), e0146461.",Guatemala,Tropical,North America,terrestrial,terrestrial,forest,Arthropoda,Intermediate (20-100 years),intermediate,16.1,-90.933333,standardized_fragment,manual sampling,all invertebrates captured,NA,NA,7,trees per site per survey,NA,NA,NA,NA,3,surveys per site,1,balanced,"In each habitat, 7 individuals of H.  aurantiaca selected.  Arthropods collected from these during 3 surveys.  Fragments as <10 ha are given as 10."
Berg_1997,"Berg Å., 1997. Diversity and abundance of birds in relation to forest fragmentation, habitat quality and heterogeneity. Bird Study, 44, pp.355-366",Sweden,Temperate,Europe,terrestrial,terrestrial,forest,Aves,long (100+ years),intermediate,59.906161,17.786129,pooled,bird survey,territory mapping,NA,NA,Entire fragment or large plot censing,NA,NA,NA,1,every 10 days,70,consecutive days,6.6,area of the sites in ha,"Territory mapping for all but colony breeders.  Numbers of each species were mapped from the entire fragment or from a discretized area within large or continous forests that was deliminted by roads, etc.  Large continuous forests were listed as >1000, and given a value of 1000 here."
Berg_1997,"Berg Å., 1997. Diversity and abundance of birds in relation to forest fragmentation, habitat quality and heterogeneity. Bird Study, 44, pp.355-366",Sweden,Temperate,Europe,terrestrial,terrestrial,forest,Aves,long (100+ years),intermediate,59.906161,17.786129,pooled,bird survey,territory mapping,NA,NA,Entire fragment or large plot censing,NA,NA,NA,1,every 10 days,70,consecutive days,10.1,area of the sites in ha,"Territory mapping for all but colony breeders.  Numbers of each species were mapped from the entire fragment or from a discretized area within large or continous forests that was deliminted by roads, etc.  Large continuous forests were listed as >1000, and given a value of 1000 here."
Berg_1997,"Berg Å., 1997. Diversity and abundance of birds in relation to forest fragmentation, habitat quality and heterogeneity. Bird Study, 44, pp.355-366",Sweden,Temperate,Europe,terrestrial,terrestrial,forest,Aves,long (100+ years),intermediate,59.906161,17.786129,pooled,bird survey,territory mapping,NA,NA,Entire fragment or large plot censing,NA,NA,NA,1,every 10 days,70,consecutive days,7,area of the sites in ha,"Territory mapping for all but colony breeders.  Numbers of each species were mapped from the entire fragment or from a discretized area within large or continous forests that was deliminted by roads, etc.  Large continuous forests were listed as >1000, and given a value of 1000 here."
Berg_1997,"Berg Å., 1997. Diversity and abundance of birds in relation to forest fragmentation, habitat quality and heterogeneity. Bird Study, 44, pp.355-366",Sweden,Temperate,Europe,terrestrial,terrestrial,forest,Aves,long (100+ years),intermediate,59.906161,17.786129,pooled,bird survey,territory mapping,NA,NA,Entire fragment or large plot censing,NA,NA,NA,1,every 10 days,70,consecutive days,5.8,area of the sites in ha,"Territory mapping for all but colony breeders.  Numbers of each species were mapped from the entire fragment or from a discretized area within large or continous forests that was deliminted by roads, etc.  Large continuous forests were listed as >1000, and given a value of 1000 here."
Berg_1997,"Berg Å., 1997. Diversity and abundance of birds in relation to forest fragmentation, habitat quality and heterogeneity. Bird Study, 44, pp.355-366",Sweden,Temperate,Europe,terrestrial,terrestrial,forest,Aves,long (100+ years),intermediate,59.906161,17.786129,pooled,bird survey,territory mapping,NA,NA,Entire fragment or large plot censing,NA,NA,NA,1,every 10 days,70,consecutive days,5.4,area of the sites in ha,"Territory mapping for all but colony breeders.  Numbers of each species were mapped from the entire fragment or from a discretized area within large or continous forests that was deliminted by roads, etc.  Large continuous forests were listed as >1000, and given a value of 1000 here."
Berg_1997,"Berg Å., 1997. Diversity and abundance of birds in relation to forest fragmentation, habitat quality and heterogeneity. Bird Study, 44, pp.355-366",Sweden,Temperate,Europe,terrestrial,terrestrial,forest,Aves,long (100+ years),intermediate,59.906161,17.786129,pooled,bird survey,territory mapping,NA,NA,Entire fragment or large plot censing,NA,NA,NA,1,every 10 days,70,consecutive days,10.2,area of the sites in ha,"Territory mapping for all but colony breeders.  Numbers of each species were mapped from the entire fragment or from a discretized area within large or continous forests that was deliminted by roads, etc.  Large continuous forests were listed as >1000, and given a value of 1000 here."
Berg_1997,"Berg Å., 1997. Diversity and abundance of birds in relation to forest fragmentation, habitat quality and heterogeneity. Bird Study, 44, pp.355-366",Sweden,Temperate,Europe,terrestrial,terrestrial,forest,Aves,long (100+ years),intermediate,59.906161,17.786129,pooled,bird survey,territory mapping,NA,NA,Entire fragment or large plot censing,NA,NA,NA,1,every 10 days,70,consecutive days,9.5,area of the sites in ha,"Territory mapping for all but colony breeders.  Numbers of each species were mapped from the entire fragment or from a discretized area within large or continous forests that was deliminted by roads, etc.  Large continuous forests were listed as >1000, and given a value of 1000 here."
