dataset_name,id,dataset_id,authors,title,year_of_publication,journal/book/repository,reference,contact person,contact email address,last version publication date dd-mm-yy,version,date of access dd-mm-yy,DOI,download URL,URL,right to reuse,license,country,taxa1,taxa2,realm,standardisation,data availability,lat,long
homogenisation,19,muthukrishnan_2019,"Ranjan Muthukrishnan, Daniel J. Larkin",Invasive species and biotic homogenization in temperate aquatic plant communities,2020,"Dryad, Dataset", ,Ranjan Muthukrishnan,mrunj@iu.edu,03/02/2020,1,17/06/2020,https://doi.org/10.5061/dryad.15dv41nt2,https://datadryad.org/stash/dataset/doi:10.5061/dryad.15dv41nt2,https://doi.org/10.5061/dryad.15dv41nt2,open,,USA,plants,,,none ; effort counts the number of time one block was surveyed in a given year.,dryad,,
homogenisation,21,santana_2017,"Joana Santana, Miguel Porto, Luís Reino, Francisco Moreira, Paulo Flores Ribeiro, José Lima Santos, John T. Rotenberry, Pedro Beja",Using beta diversity to inform agricultural policies and conservation actions on Mediterranean farmland,2017,Journal of Applied Ecology, ,Joana Santana,joanafsantana@cibio.up.pt,16/02/2018,2,18/06/2020,https://doi.org/10.5061/dryad.kp3fv,https://datadryad.org/stash/dataset/doi:10.5061/dryad.kp3fv,https://doi.org/10.5061/dryad.kp3fv,open,CC0 1.0 ,Portugal,vertebrates,birds,,none,dryad,,
homogenisation,22,werner_2014,"Earl E. Werner ,Christopher J. Davis,David K. Skelly,Rick A. Relyea,Michael F. Benard,Shannon J. McCauley", Data from: Cross-scale interactions and the distribution-abundance relationship,2015,"Dryad, Dataset","Werner, Earl E. et al. (2015), Data from: Cross-scale interactions and the distribution-abundance relationship, Dryad, Dataset, https://doi.org/10.5061/dryad.js47k",Earl E. Werner,eewerner@umich.edu,06/05/2015,1,18/06/2020,https://doi.org/10.5061/dryad.js47k,https://datadryad.org/stash/dataset/doi:10.5061/dryad.js47k,https://datadryad.org/stash/dataset/doi:10.5061/dryad.js47k,open,CC0 1.0 ,USA,vertebrates,amphibians,,none,dryad,,
homogenisation,23,beldade_2015,"Ricardo Beldade​, Suzanne C. Mills, Joachim Claudet, Isabelle M. Côté","More coral, more fish? Contrasting snapshots froma remote Pacific atoll",2015,PeerJ,,Ricardo Beldade​,rbeldade@gmail.com,29/01/2015,1,29.01.2015,https://doi.org/10.7717/peerj.745,https://doi.org/10.7717/peerj.745/supp-1,https://doi.org/10.7717/peerj.745/supp-1,open,,Mataiva  French Polynesia,vertebrates,fish,,,supporting information,,
homogenisation,24,carlson_2004,"D. M. CARLSON, R. A. DANIELS","Status of Fishes in New York: Increases, Declines and Homogenization of Watersheds",2004,BioOne Complete / The American Midland Naturalist,,NA,NA,01.07.2004,1, ,https://doi.org/10.1674/0003-0031(2004)152[0104:SOFINY]2.0.CO;2,https://doi.org/10.1674/0003-0031(2004)152[0104:SOFINY]2.0.CO;2,https://doi.org/10.1674/0003-0031(2004)152[0104:SOFINY]2.0.CO;2,open,,USA,vertebrates,fish,,,appendix,,
homogenisation,26,peck_2012,"Peck, S. B., Herrera, H. W.","CDF Checklist of Galapagos Cockroaches, Mantids and Termites - FCD Lista de especies de Cucarachas, mantidos y termitas Galápagos.",2012,"Bungartz, F., Herrera, H., Jaramillo, P., Tirado, N., Jiménez-Uzcátegui, G., Ruiz, D., Guézou, A. & Ziemmeck, F. (eds.). Charles Darwin Foundation Galapagos Species Checklist - Lista de Especies de Galápagos de la Fundación Charles Darwin. Charles Darwin Foundation / Fundación Charles Darwin, Puerto Ayora, Galapagos",2011,NA,NA,27.11.2012,1,,NA,NA,http://checklists.datazone.darwinfoundation.org/vertebrates/,open,NA,Galapagos,invertebrates,insects,,,article,,
homogenisation,27,jimenez-uzcategui_2013,"Gustavo Jiménez-Uzcátegui, Cruz Márquez, Howard L. Snell",CDF Checklist of Galapagos Reptiles,2013,"Bungartz, F., Herrera, H., Jaramillo, P., Tirado, N., Jiménez-Uzcátegui, G., Ruiz, D., Guézou, A. & Ziemmeck, F. (eds.). Charles Darwin Foundation Galapagos Species Checklist - Lista de Especies de Galápagos de la Fundación Charles Darwin. Charles Darwin Foundation / Fundación Charles Darwin, Puerto Ayora, Galapagos",,Darwin Foundation,datazone@fcdarwin.org.ec,26/03/2013,1,,NA,NA,http://checklists.datazone.darwinfoundation.org/vertebrates/reptilia/,open,,Galapagos,vertebrates,reptiles,,,article,,
homogenisation,29,chiarucci_2017,"Alessandro Chiarucci, Simone Fattorini, Bruno Foggi, Sara Landi, Lorenzo Lazzaro, János Podani & Daniel Simberloff ",Plant recording across two centuries reveals dramatic changes in species diversity of a Mediterranean archipelago,2017,Scientific Reports ,,Alessandro Chiarucci,alessandro.chiarucci@unibo.it,05/12/2019,2,,DOI:10.1038/s41598-017-05114-5,https://doi.org/10.1038/s41598-017-05114-5,https://doi.org/10.1038/s41598-017-05114-5,open,http://creativecommons.org/licenses/by/4.0/     CC-BY-4.0,Tuscan archipelago ,plants,,,,supplementary,,
homogenisation,30,closset-kopp_2018,"Déborah Closset-Kopp, Tarek Hattab, Guillaume Decocq",Do drivers of forestry vehicles also drive herb layer changes (1970–2015) in a temperate forest with contrasting habitat and management conditions?,2018,Journal of Ecology,,Déborah Closset-Kopp,deborah.closset-kopp@u-picardie.fr,15/04/2019,1,,https://doi.org/10.1111/1365-2745.13118,http://www.forestreplot.ugent.be/,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13118,open,,global,plants,,,,data set accessible only if asked to the authors for a collaboration?,,
homogenisation,32,corke_1992,David Corke,The status and conservation needs of the terrestrial herpetofauna of the Windward Islands (West Indies),1992,Biological Conservation,,David Corke,NA,05/11/1991,1,,https://doi.org/10.1016/0006-3207(92)91151-H,,https://www.sciencedirect.com/science/article/pii/000632079291151H,open,,West Indies,vertebrates,herpetofauna,,,article,,
homogenisation,33,cowie_2003,"Robert H.Cowie, A.C.Robinson",The decline of native Pacific island faunas: changes in status of the land snails of Samoa through the 20th century,2003,Biological Conservation,,Robert H.Cowie,cowie@hawaii.edu,01/03/2003,1,,https://doi.org/10.1016/S0006-3207(02)00176-3,,https://www.sciencedirect.com/science/article/pii/S0006320702001763,open,,American  Samoa,invertebrates,snails,,,article,,
homogenisation,34,dustan-halas_1987,Phillip Dustan & John C. Halas ,"Changes in the reef-coral community of Carysfort Reef, Key Largo, Florida: 1974 to 1982",1987,Coral Reefs volume,,NA,NA, 11-1987,1,,https://doi.org/10.1007/BF00301378,,,"Copyright © 1987, Springer-Verlag",,USA,invertebrates,coral,,,article,,
homogenisation,35,fitzgerald_1997,"Dean G. Fitzgerald, Ed Kott, Roman P. Lanno & D. George Dixon",A quarter century of change in the fish communities of three small streams modified by anthropogenic activities,1997,Journal of Aquatic Ecosystem Stress and Recovery,,,,Jun-97,1,,https://doi.org/10.1023/A:1009976923490,,https://link.springer.com/article/10.1023/A:1009976923490,"Copyright © 1997, Kluwer Academic Publisher",,Canada,vertebrates,fish,,,article,,
homogenisation,37,gido_2010,"Keith B. Gido, Walter K. Dodds, and Mark E. Eberle",Retrospective analysis of fish community change during a half-century of landuse and streamflow changes,2010,Journal of the North American Benthological Society,,NA,NA,29/09/2010,1,,https://doi.org/10.1899/09-116.1,,http://www.bioone.org/doi/full/10.1899/09-116.1   https://www.journals.uchicago.edu/doi/abs/10.1899/09-116.1,open,,USA,vertebrates,fish,,,appendix,,
homogenisation,39,pyle_2017,"Pyle, R.L., and P. Pyle","The Birds of the Hawaiian Islands: Occurrence, History, Distribution, and Status. Version 2 ",2017,"B.P. Bishop Museum, Honolulu, HI, U.S.A.","Pyle, R.L., and P. Pyle. 2017. The Birds of the Hawaiian Islands: Occurrence, History, Distribution, and Status. B.P. Bishop Museum, Honolulu, HI, U.S.A. Version 2 (1 January 2017) http://hbs.bishopmuseum.org/birds/rlp-monograph",Bishop Museum Archives,archives@bishopmuseum.org,01/01/2017,2,,NA,,http://hbs.bishopmuseum.org/birds/rlp-monograph/,open,,USA,vertebrates,birds,,,excel table,,
homogenisation,40,jimenez-uzcategui_2012,"Gustavo Jiménez-Uzcátegui, David A. Wiedenfeld, F. Hernán Vargas,",CDF Checklist of Galapagos Birds,2012,"Bungartz, F., Herrera, H., Jaramillo, P., Tirado, N., Jiménez-Uzcátegui, G., Ruiz, D., Guézou, A. & Ziemmeck, F. (eds.). Charles Darwin Foundation Galapagos Species Checklist - Lista de Especies de Galápagos de la Fundación Charles Darwin. Charles Darwin Foundation / Fundación Charles Darwin, Puerto Ayora, Galapagos",,Darwin Foundation,datazone@fcdarwin.org.ec,02-08-2-12,1,,NA,,http://checklists.datazone.darwinfoundation.org/vertebrates/aves/,open,,Galapagos,vertebrates,birds,,,article,,
homogenisation,43,kodric-brown_2007,"Astrid Kodric-Brown, Chris Wilcox, Jason G. Bragg and James H. Brown",Dynamics of fish in Australian desert springs: role of large-mammal disturbance,2007,Diversity and Distributions,,Astrid Kodric-Brown,kodric@unm.edu,14/08/2007,1,,https://doi.org/10.1111/j.1472-4642.2007.00395.x,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1472-4642.2007.00395.x,open,,Australia,vertebrates,fish,,,article,,
homogenisation,45,sciberras_2012,"Jeffrey Sciberras, Arnold Sciberras & Luca Pisan",Updated checklist of flora of the satellite islets surrounding the Maltese Archipelago,2012,Biodiversity Journal,,Arnold Sciberras,bioislets@gmail.com,30/12/2012,1,,NA,,http://www.biodiversityjournal.com/pdf/3(4)_385-396.pdf,open,,malta,plants,,,,article,,
homogenisation,48,matthews_2016,"William J. Matthews, Edie Marsh-Matthews",Dynamics of an upland stream fish community over 40 years: trajectories and support for the loose equilibrium concept,2016, Ecological Society of America,,William J. Matthews,wmatthews@ou.edu,28/03/2019,1,,https://doi.org/10.1890/14-2179.1,, https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/14-2179.1,open,,USA,vertebrates,fish,,,excel table,,
homogenisation,49,mcHugh_2011,"Matthew McHugh, David W.Simsac, Julian C.Partridge, Martin J.Genner",A century later: Long-term change of an inshore temperate marine fish assemblage,2011,Journal of Sea Research,,MatthewMcHugh,m.mchugh@mba.ac.uk,02/02/2011,1,,https://doi.org/10.1016/j.seares.2010.09.006,, https://www.sciencedirect.com/science/article/pii/S1385110110001097,open,,USA,vertebrates,fish,,,article,,
homogenisation,51,wiles_2005a,GARY J. WILES,A checklist of the birds and mammals of Micronesia,2005,Micronesica,"Wiles, G. J. (2005). A checklist of the birds and mammals of Micronesia. MICRONESICA-AGANA-, 38(1), 141.",GARY J. WILES,wilesharkey@yahoo.com,2005,1,,NA,NA,https://micronesica.org/sites/default/files/8_wiles.pdf,open,,Micronesia,vertebrates,birds,,,article,,
homogenisation,52,wiles_2005b,GARY J. WILES,A checklist of the birds and mammals of Micronesia,2005,Micronesica,"Wiles, G. J. (2005). A checklist of the birds and mammals of Micronesia. MICRONESICA-AGANA-, 38(1), 141.",GARY J. WILES,wilesharkey@yahoo.com,2005,1,,NA,NA,https://micronesica.org/sites/default/files/8_wiles.pdf,open,,Micronesia,vertebrates,mammals,,,article,,
homogenisation,57,pilarczyk_2006,"Pilarczyk, Megan M., Stewart, Paul M., Shelton, Douglas N., Blalock-Herod, Holly N., and Williams, James D.",Current and Recent Historical Freshwater Mussel Assemblages in the Gulf Coastal Plains,2006,Southeastern Naturalist,,Paul M. Stewart,mstewart@troy.edu,26/10/2006,1,,https://doi.org/10.1656/1528-7092(2006)5[205:CARHFM]2.0.CO;2,,https://bioone.org/journals/Southeastern-Naturalist/volume-5/issue-2/1528-7092(2006)5[205:CARHFM]2.0.CO;2/Current-and-Recent-Historical-Freshwater-Mussel-Assemblages-in-the-Gulf/10.1656/1528-7092(2006)5[205:CARHFM]2.0.CO;2.short,open,,USA,invertebrates,mussels,,,article,,
homogenisation,58,price_2017,"Price, Edward P. F.; Spyreas, Greg; Matthews, Jeffrey ",Biotic homogenization of regional wetland plant communities within short timescales in the presence of an aggressive invader,2018,Journal of Ecology ,"Price, Edward P. F.; Spyreas, Greg; Matthews, Jeffrey (2017): Biotic homogenization of regional wetland plant communities within short timescales in the presence of an aggressive invader. University of Illinois at Urbana-Champaign. https://doi.org/10.13012/B2IDB-0478588_V2", Jeffrey W. Matthews,jmatthew@illinois.edu,09/10/2017,2,24/06/2020,https://doi.org/10.13012/B2IDB-0478588_V2  In Journal of Ecology https://doi.org/10.1111/1365-2745.12883,,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12883,open,CC0,USA,plants,,,,excel table,,
homogenisation,61,roman-palacios_2020,Cristian Román-Palacios and  View ORCID ProfileJohn J. Wiens,Recent responses to climate change reveal the drivers of species extinction and survival,2020,PNAS ,,roman-palacios,"cromanpa94@email.arizona.edu,",31/12/2019,1,24/06/2020,10.5061/dryad.4tmpg4f5w,https://datadryad.org/stash/dataset/doi:10.5061/dryad.4tmpg4f5w,https://datadryad.org/stash/dataset/doi:10.5061/dryad.4tmpg4f5w,open,cc0 1.0,global,multi group,,,,excel table,,
homogenisation,66,sorte_2018,"Cascade J. B. Sorte, Victoria E. Davidson, Marcus C. Franklin, Kylla M. Benes, Meredith M. Doellman, Ron J. Etter, Robyn E. Hannigan, Jane Lubchenco, Bruce A. Menge",Long‐term declines in an intertidal foundation species parallel shifts in community composition,2017,Global Ecology and Biogeography ,,Cascade J. B. Sorte,csorte@uci.edu,13/07/2016,1,24/06/2020,10.1111/gcb.13425  In The journa  https://doi.org/10.1111/gcb.13425,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13425,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13425,open,,USA,invertebrates,,,,excel table,,
homogenisation,67,starko_2019,"Samuel Starko  ,Lauren A. Bailey ,Elandra Creviston ,Katelyn A. James ,Alison Warren ,Megan K. Brophy ,Andreea Danasel ,Megan P. Fass ,James A. Townsend ,Christopher J. Neufeld ",Environmental heterogeneity mediates scale-dependent declines in kelp diversity on intertidal rocky shores,2019,PLOS ONE,"Starko S, Bailey LA, Creviston E, James KA, Warren A, Brophy MK, et al. (2019) Environmental heterogeneity mediates scaledependent declines in kelp diversity on intertidal rocky shores. PLoS ONE 14(3): e0213191.",Samuel Starko,samuel.starko@gmail.com,26/03/2019,1,,https://doi.org/10.1371/journal.pone.0213191,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0213191,open,,Canada,algae,kelp,,,excel table,,
homogenisation,68,stevens_2016,"Carly J. Stevens, Tobias Ceulemans, John G. Hodgson, Susan Jarvis, J. Philip Grime, Simon M. Smart","Drivers of vegetation change in grasslands of the Sheffield region, northern England, between 1965 and 2012/13",2015,Applied Vegetation Science,,Carly J. Stevens,C.Stevens@lancaster.ac.uk,07/12/2015,1,,https://doi.org/10.1111/avsc.12206,,https://onlinelibrary.wiley.com/doi/full/10.1111/avsc.12206,open,CC BY 4.0),UK,plants,,,,excel table,,
homogenisation,72,vernon_2013,"Amanda L. Vernon, Tom A. Ranker",Current Status of the Ferns and Lycophytes of the Hawaiian Islands,2013,American Fern Journal,,AMANDA L. VERNON,amandaleevernon@gmail.com,01/04/2013,1,,https://doi.org/10.1640/0002-8444-103.2.59,https://doi.org/10.1640/0002-8444-103.2.59,https://doi.org/10.1640/0002-8444-103.2.59,,,USA,plants,ferns,,,appendix,,
homogenisation,73,vitule_2012,"Jean Ricardo Simões Vitule, Felipe Skóra, Vinícius Abilhoa",Homogenization of freshwater fish faunas after the elimination of a natural barrier by a dam in Neotropics,2011,Diversity and Distributions,,Jean Ricardo Simões Vitule,biovitule@gmail.com,24/10/2011,1,,https://doi.org/10.1111/j.1472-4642.2011.00821.x,https://doi.org/10.1111/j.1472-4642.2011.00821.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-4642.2011.00821.x,open,,Brasil,vertebrates,fish,,,excel table,,
homogenisation,74,vojik_2018,Martin Vojík & Karel Boublík ,Fear of the dark: decline in plant diversity and invasion of alien species due to increased tree canopy density and eutrophication in lowland woodlands,2018,Plant Ecology ,,Martin Vojík,Contact though the journal website: https://link.springer.com/article/10.1007/s11258-018-0831-5/email/correspondent/c1/new,,,,https://doi.org/10.1007/s11258-018-0831-5,https://doi.org/10.1007/s11258-018-0831-5,https://link.springer.com/article/10.1007/s11258-018-0831-5,,,Czech Republic,plants,,,,supplementary,,
homogenisation,75,jones_2019,Stephen Jones,"Western Prairie Stream Fisheries: An Assessment of Past and Present Fish Assemblage Structure, Biotic Homogenization, and Population Dynamics in Western South Dakota Streams",2018,open prairie/Electronic Theses,,NA,NA,2018,1,,https://openprairie.sdstate.edu/etd/2699,,https://openprairie.sdstate.edu/cgi/viewcontent.cgi?article=3730&context=etd,open,,USA,vertebrates,fish,,,appendix,,
homogenisation,76,whillans_1979,T.H.Whillans,HISTORIC FISH COMMUNITY TRANSFORMATION COMMUNITIES IN THREE GREAT LAKES BAYS,2009,Journal of Great Lakes Research, ,NA,NA,1979,1,,https://doi.org/10.1016/S0380-1330(79)72146-0,,https://www.sciencedirect.com/science/article/pii/S0380133079721460,NA,,Canada,vertebrates,fish,,,article,,
homogenisation,78,becker-scarpitta_2018,"Antoine Becker-Scarpitta, Steve Vissault, Mark Vellend",Four decades of plant community change along a continental gradient of warming,2019,Global Change Biology,"Becker‐Scarpitta A, Vissault S, Vellend M. Four decades of plant community change along a continental gradient of warming. Glob Change Biol. 2019;25:1629–1641. https://doi.org/10.1111/gcb.14568",Antoine Becker-Scarpitta,antoine.becker.scarpitta@gmail.com,12/01/2019,1,,DOI: 10.1111/gcb.14568,,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14568,,,Canada,plants,,,,excel table,,
homogenisation,80,tirvengadum_1985,"Tirvengadum, DD and Bour, R",Checklist of the herpetofauna of the Mascarane Islands,1985,Atoll Research Bulletin,"Checklist of the herpetofauna of the Mascarane Islands, 1985, Atoll Research Bulletin 292: 49-60",NA,NA,1985,1,,NA,,https://repository.si.edu/bitstream/handle/10088/34156/ARB_checklist.pdf?sequence=1&isAllowed=y,NA,,Mascarene Islands,vertebrates,herpetofauna,,,article,,
homogenisation,82,hoagstrom_2007,"Christopher W. Hoagstrom, Steven S. Wall, Jason G. Kral, Brian G. Blackwell, Charles R. Berry",ZOOGEOGRAPHIC PATTERNS AND FAUNAL CHANGE OF SOUTH DAKOTA FISHES,2007,Western North American Naturalist,,3,pecospupfish@hotmail.com,01/04/2007,1,,https://doi.org/10.3398/1527-0904(2007)67[161:ZPAFCO]2.0.CO;2,,https://bioone.org/journals/western-north-american-naturalist/volume-67/issue-2/1527-0904(2007)67[161:ZPAFCO]2.0.CO;2/ZOOGEOGRAPHIC-PATTERNS-AND-FAUNAL-CHANGE-OF-SOUTH-DAKOTA-FISHES/10.3398/1527-0904(2007)67[161:ZPAFCO]2.0.CO;2.full,,,USA,fish,,,,article,,
homogenisation,83,lindholm_2019,"Marja Lindholm, Janne Alahuhta, Jani Heino, Heikki Toivonen",No biotic homogenisation across decades but consistent effects of landscape position and pH on macrophyte communities in boreal lakes,,Ecography ,"Lindholm, M., Alahuhta, J., Heino, J. & Toivonen, H. (2019). No biotic homogenisation across decades but consistent effects of landscape position and pH on macrophyte communities in boreal lakes. Ecography, doi:10.1111/ecog.04757","Lindholm, M.",marja.lindholm@oulu.fi,222-10-2019,1,,https://doi.org/10.1111/ecog.04757,,https://onlinelibrary.wiley.com/doi/full/10.1111/ecog.04757,open,,Finland,macrophytes,,,,,,
homogenisation,87,taylor_2010b,Eric B. Taylor,Changes in taxonomy and species distributions and their influence on estimates of faunal homogenization and differentiation in freshwater fishes,2010,Diversity and Distributions,,Eric B. Taylor,etaylor@zoology.ubc.ca,10/06/2010,1,,https://doi.org/10.1111/j.1472-4642.2010.00670.x,,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-4642.2010.00670.x,open,,canada,vertebrates,fish,,,excel table,,
homogenisation,89,swenson_2020,"Nathan G. Swenson, Catherine M. Hulshof, Masatoshi Katabuchi, Brian J. Enquist",Long-term shifts in the functional composition and diversity of a tropical dry forest: a 30-yr study,2020,Ecological Monographs,"Swenson, N. G., C. M. Hulshof, M. Katabuchi, and B. J. Enquist. 2020. Long-term shifts in the
functional composition and diversity of a tropical dry forest: a 30-yr study. Ecological Monographs 90(00):
e01408. 10.1002/ecm.1408",Nathan G. Swenson,swenson@umd.edu,24/02/2020,1,,https://doi.org/10.1111/avsc.12206,https://doi.org/10.1111/avsc.12206,.,,,Costa Rica,plants,,,,dryad,,
homogenisation,90,kumagai_2016,"Naoki H. Kumagai, Hiroya Yamano, Masahiko Fujii, Yasuhiro Yamanaka",Habitat-forming seaweeds in Japan (fucoids and temperate kelps),2016,Ecololgical Research,,Naoki H. Kumagai,nh.kuma@gmail.com,19/10/2016,1,,https://doi.org/10.1007/s11284-016-1404-5,,https://esj-journals.onlinelibrary.wiley.com/doi/full/10.1007/s11284-016-1404-5,open,,Japan,algae,,,,,,
homogenisation,92,bruelheide_2020,"Bruelheide, Helge, Sperle, Thomas",Occupancy change observations in bog species in the Black Forest (Germany) across all sites from 1972-2019,,Dryad,"Bruelheide, Helge; Sperle, Thomas (2020), Table S5: Occupancy change observations in bog species in the Black Forest (Germany) across all sites from 1972-2019, Dryad, Dataset, https://doi.org/10.5061/dryad.mw6m905vj",Bruelheide,"helge.bruelheide@botanik.uni-halle.de   , t.sperle@freenet.de",28/10/2020,1,,https://doi.org/10.5061/dryad.mw6m905vj,https://doi.org/10.5061/dryad.mw6m905vj,https://doi.org/10.5061/dryad.mw6m905vj,open,CC0 1.0,Germany,plants,,,,,,
